Survey,Year,Quarter,AphiaID,Species,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,DateofCalculation
NS-IBTS,1965,1,126417,Clupea harengus,NS_Her,,5,0.000,7805.035,90.965,0.700,0.000,0.000,,,,,,,,,,,
NS-IBTS,1965,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,69.900,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1965,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,69.900,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1966,1,126417,Clupea harengus,NS_Her,,5,0.000,1141.618,181.000,6.985,0.079,0.000,,,,,,,,,,,20120423
NS-IBTS,1966,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,2.837,0.000,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,1966,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,2.837,0.000,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,1967,1,126417,Clupea harengus,NS_Her,,5,0.000,278.763,51.682,11.825,1.258,0.027,,,,,,,,,,,
NS-IBTS,1967,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,3.459,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1967,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,3.318,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1968,1,126417,Clupea harengus,NS_Her,,5,0.000,263.916,10.000,0.338,0.110,0.020,,,,,,,,,,,
NS-IBTS,1968,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,7.718,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1968,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,7.466,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1969,1,126417,Clupea harengus,NS_Her,,5,0.000,172.028,35.302,1.420,0.667,0.837,,,,,,,,,,,
NS-IBTS,1969,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,0.715,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1969,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,0.715,0.000,0.000,0.000,0.000,,,,,,,,,,,
