year,OS1,OS2,B1,B2,CNS1,CNS2,CNS3,CNS4,SNS1,SNS2,SNS3
1972,1133,4583,30,,165,88,134,22,2,46,
1973,2029,822,3,4,492,830,1213,152,,,1
1974,758,421,101,284,81,,1184,,,10,
1975,371,50,312,,,90,77,6,1,2,
1976,545,81,,1,64,108,,10,,3,
1977,1133,221,124,32,520,262,89,3,1,,
1978,3047,50,,162,1406,81,269,2,33,3,
1979,2882,2362,197,10,662,131,507,7,,111,89
1980,3534,720,21,1,317,188,9,13,247,129,40
1981,3667,277,3,12,903,235,119,,1456,,70
1982,2353,1116,340,257,86,64,1077,23,710,275,54
1983,2579,812,3647,768,1459,281,63,,71,243,58
1984,1795,1912,2327,1853,688,2404,824,433,523,185,39
1985,5632,3432,2521,1812,130,13039,1794,215,1851,407,38
1986,3529,1842,3278,341,1611,6112,188,36,780,123,18
1987,7409,1848,2551,670,799,4927,1992,113,934,297,146
1988,7538,8832,6812,5248,5533,3808,1960,206,1679,162,112
1989,11477,5725,5879,692,1442,5010,2364,2,1514,2120,512
1990,,10144,4590,2045,19955,1239,975,,2552,1204,
1991,1021,2397,,2032,4823,2110,1249,,4400,873,
1992,189,4917,,822,10,165,163,,176,1616,
1993,,66,,174,,685,85,,1358,1103,
1994,26,1179,,,,1464,44,,537,595,
1995,,8688,,,,,43,,74,230,164
1996,,809,,184,,564,,,337,675,691
1997,,3611,,23,,,,,9374,918,355
1998,,8528,,1490,205,66,,,1522,953,170
1999,,4064,,185,,134,181,,804,1260,344
2000,,3352,28,83,,376,,,7346,338,106
2001,,11918,,164,,1604,,,971,5531,909
2002,,6669,,1038,,,3291,,2008,260,925
2003,,3199,,2263,,12018,3277,,12048,3109,1116
2004,,7055,,3884,,5545,,,6528,2052,4175
2005,,3380,,1364,,5614,,,498,3999,4822
2006,6311,2312,,280,,2259,,,10858,2700,2106
2007,,1753,,1304,,291,,,4443,2439,3854
2008,4978,6875,,533,,11201,,,8426,2317,4008
