age1,age2,age3,age4,age5+,measurement_year
156.3,-1,-1,-1,-1,1979
342.8,-1,-1,-1,-1,1980
517.7,-1,-1,-1,-1,1981
799.3,-1,-1,-1,-1,1982
1230.7,137.4,46.4,15.3,28.5,1983
1515.627,161.48,61.428,26.888,10.238,1984
2097.28,721.646,281.99,42.088,27.941,1985
2662.812,782.122,276.031,79.007,28.076,1986
3692.965,917.55,116.315,59.351,48.763,1987
4394.168,4163.384,791.528,57.957,25.054,1988
2331.566,875.336,338.514,89.381,8.519,1989
1061.572,462.097,279.78,269.108,71.303,1990
1286.747,693.02,258.604,221.523,146.096,1991
1268.145,436.563,193.085,54.81,92.268,1992
2794.007,787.421,222.585,45.042,65.534,1993
1752.053,1167.221,213.059,69.004,42.503,1994
1345.754,1392.857,278.544,36.67,6.551,1995
1890.872,197.522,32.875,10.193,8.079,1996
4402.996,498.645,162.77,37.122,22.766,1997
2275.845,791.593,95.66,20.81,17.841,1998
752.862,450.623,501.325,98.179,35.566,1999
3303.932,131.854,107.29,115.16,8.754,2000
2499.391,1129.308,317.069,93.886,68.284,2001
3881.426,485.62,252.894,19.29,17.324,2002
2836.7,1512.943,441.896,354.929,43.781,2003
979.031,450.984,777.309,112.375,171.232,2004
1014.574,206.961,352.98,391.798,131.554,2005
899.732,1445.283,362.764,250.598,336.655,2006
1322.346,50.083,18.243,7.926,41.269,2007
1791.537,231.532,145.634,201.177,231.602,2008
2338.813,135.261,21.178,11.21,46.404,2009
1206.335,49.506,34.833,45.936,89.95,2010
2938.982,385.032,606.677,418.836,471.048,2011
1352.769,284.886,175.455,57.634,74.782,2012
1665.11,184.926,194.712,146.429,65.933,2013
2960.804,397.111,31.726,21.592,57.32,2014
