age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,0.708213797,0.700420308,0.695702476,0.694734367,0.69649246,0.700220877,0.70721726,0.717491371,0.728355514,0.749058092,0.770926698,0.78341299,0.793727627,0.798940199,0.79555435,0.786964879,0.780578111,0.774778919,0.766525787,0.76108545,0.75534646,0.751198831,0.754413057,0.761415324,0.770958101,0.785369329,0.80382246,0.820338224,0.836227082,0.853640588,0.867861105,0.882440395,0.895153744,0.902616891,0.907615667,0.906022867,0.897765101,0.884524806,0.865860971,0.842214289,0.813413851,0.779131145,0.739540933
1,0.550199821,0.5733306,0.592828615,0.608218668,0.620141615,0.629109162,0.634325553,0.635818975,0.635337052,0.629126681,0.620425865,0.613087129,0.603888468,0.594452378,0.585667024,0.577216982,0.568919372,0.557081878,0.542547212,0.53193502,0.522277699,0.515338091,0.51669461,0.522309448,0.531473583,0.551205581,0.578789176,0.598913092,0.613712417,0.629189059,0.635831967,0.625124986,0.611273103,0.598987052,0.582702835,0.571579019,0.564276237,0.558272358,0.555707351,0.554592462,0.556119022,0.561635026,0.570009206
2,0.32851696,0.334817623,0.339680285,0.343027053,0.344954203,0.345531942,0.344443746,0.341743304,0.338056128,0.332887823,0.326609971,0.317536405,0.305990404,0.296910608,0.289645711,0.282487026,0.278787135,0.281021444,0.286585729,0.291213116,0.296292759,0.301901874,0.304883562,0.307545114,0.311848035,0.319140474,0.327679672,0.334790765,0.342878275,0.352360335,0.357582503,0.357093986,0.355199279,0.350617709,0.343419373,0.33860892,0.335584319,0.332726985,0.331007152,0.329510786,0.328891292,0.329889226,0.331901228
3,0.276135716,0.281502707,0.285333605,0.287428971,0.288000101,0.287260648,0.284841137,0.280761155,0.275817947,0.268207247,0.259420833,0.249299341,0.237202795,0.228151589,0.222774789,0.218739111,0.216621421,0.218960719,0.224640262,0.228753302,0.231205071,0.233476387,0.232821012,0.230763311,0.231165841,0.234720802,0.23941668,0.245060456,0.254144581,0.265680021,0.274251523,0.281723484,0.28820693,0.289276128,0.287923452,0.287230747,0.286962511,0.286031631,0.284932414,0.283192818,0.281167762,0.279318838,0.277321134
4,0.250468966,0.252641953,0.253829565,0.253913336,0.252969707,0.251132181,0.248328085,0.244541692,0.239991928,0.233817372,0.226628482,0.216615482,0.204199835,0.195155133,0.190110184,0.186426425,0.184976389,0.189017384,0.197034674,0.202742727,0.206967509,0.210561529,0.209307685,0.205897445,0.204447948,0.204006086,0.202951653,0.204401146,0.21062603,0.21941294,0.227151127,0.236981609,0.246731097,0.251487051,0.254867387,0.258085581,0.261064038,0.263416982,0.265354474,0.266678961,0.267530215,0.268123229,0.268327195
5,0.23447327,0.234464139,0.233861471,0.232578976,0.230672586,0.228241153,0.225275081,0.221754538,0.217763017,0.212802755,0.207195173,0.199647449,0.190494457,0.183490008,0.178962645,0.175292482,0.173310678,0.174870175,0.178922824,0.181948145,0.185006551,0.187800363,0.187011801,0.18494938,0.184494938,0.184968889,0.18521916,0.187418857,0.193271614,0.201153948,0.208248293,0.217045732,0.225845828,0.23089188,0.23497111,0.238794552,0.242298961,0.245269791,0.247835695,0.249876104,0.251501253,0.252876465,0.253900936
6,0.226462538,0.224001421,0.221304042,0.218318647,0.215064072,0.211604753,0.208007389,0.204243177,0.200233304,0.195739178,0.190870709,0.184522955,0.177070479,0.171176467,0.167144044,0.163817573,0.161672096,0.161910384,0.163852952,0.165151454,0.165969652,0.166805647,0.165960358,0.164463604,0.164561907,0.166078056,0.167968295,0.17117933,0.177158995,0.184987426,0.192059792,0.199895362,0.207695325,0.212850019,0.217261287,0.221614441,0.225830096,0.229732183,0.233475562,0.236915667,0.240143655,0.243292987,0.24627746
7,0.221422134,0.21794858,0.214359479,0.210619119,0.206735653,0.202754877,0.198736314,0.194656255,0.19043565,0.185868624,0.181063495,0.175046746,0.168154912,0.162745298,0.159091331,0.156145955,0.154285756,0.154660709,0.156657102,0.15800598,0.158745221,0.159565258,0.159242558,0.158461334,0.158793092,0.1599709,0.161311745,0.163763015,0.16833703,0.174321429,0.180076572,0.186471046,0.193014452,0.198221219,0.203211173,0.208214298,0.213195103,0.21810863,0.223017538,0.227863339,0.232680097,0.237519843,0.242350175
8,0.220713822,0.217241607,0.213626478,0.209812115,0.205831485,0.201753089,0.197606373,0.193367361,0.189024418,0.184166361,0.179081529,0.173343592,0.16701113,0.161849156,0.158164357,0.155137265,0.152843668,0.151961256,0.152238204,0.152356031,0.151754294,0.151438919,0.151223186,0.151034866,0.152076771,0.154901376,0.158718498,0.162716969,0.167417467,0.173021874,0.178240828,0.183792981,0.189268346,0.193115466,0.196438289,0.200237595,0.204448886,0.20873563,0.213270568,0.21788753,0.222670873,0.227739228,0.233012502
9,0.219419596,0.216781853,0.213809052,0.210470153,0.206770713,0.20275025,0.198442117,0.1938284,0.188871723,0.183251092,0.177197296,0.169730186,0.161164573,0.154233186,0.148995891,0.144262006,0.140888453,0.14021771,0.141407798,0.142038943,0.142086603,0.142379894,0.141312901,0.139652715,0.139819575,0.142165872,0.14540599,0.149503149,0.155907903,0.164184008,0.17146449,0.178806246,0.185929544,0.190503207,0.194201106,0.198158887,0.202280415,0.206195919,0.210111591,0.213830154,0.217471608,0.221197249,0.22489531
