#  log(Observed catch)- log(Expected catch)
# Species,Quarter,Year, Age_0, Age_1, Age_2, Age_3
1,1,1974,-99.9,-0.2237,-0.1560,1.4723
1,1,1975     ,-1.1801,0.0442,0.3462,-0.0092
1,1,1976     ,1.6614,0.1948,-0.3232,-0.1316
1,1,1977     ,1.3591,-0.0945,0.2058,0.2401
1,1,1978     ,-0.4995,0.5175,-1.3474,-0.0596
1,1,1979     ,2.6229,0.4726,-1.5469,0.3559
1,1,1980,-99.9,-0.7180,0.1542,0.6475
1,1,1981     ,1.7435,0.2871,-0.1553,0.1575
1,1,1982     ,2.6729,0.7325,-1.1886,-0.6027
1,1,1983     ,4.2310,-0.0718,-0.2987,-0.5839
1,1,1984     ,3.7371,0.9477,0.0082,-2.7371
1,1,1985,-99.9,-0.0192,0.7998,-0.3741
1,1,1986,-99.9,-1.3078,0.6698,2.0417
1,1,1987     ,-1.5183,0.8891,0.7735,-1.2157
1,1,1988     ,4.3381,0.4237,1.0136,0.0434
1,1,1989     ,0.1285,1.3222,3.9624,-0.8247
1,1,1990     ,-3.9285,0.2979,1.1424,1.5906
1,1,1991     ,-0.3873,0.1246,2.6159,-0.4997
1,1,1992     ,-1.2379,1.0599,0.8940,1.9271
1,1,1993     ,0.2867,-0.7906,1.0430,0.8158
1,1,1994     ,1.8667,2.0876,-0.2406,1.0780
1,1,1995     ,1.4464,1.0968,-0.1071,0.7259
1,1,1996     ,1.5733,-2.2144,-0.7628,0.6497
1,1,1997     ,-1.7312,-0.2336,-1.2989,0.7760
1,1,1998     ,-0.4665,-0.0600,-0.0553,1.0736
1,1,1999     ,-4.1327,1.3180,-0.1068,0.5837
1,1,2000     ,-2.5659,0.7177,-0.2542,-0.3057
1,1,2001     ,-1.6913,0.1702,-1.4369,-2.8947
1,1,2002     ,-0.4494,0.4199,-0.7080,0.4432
1,1,2003     ,0.6765,-0.1308,-0.3217,0.4886
1,1,2004     ,-0.1766,-0.6644,-0.8543,0.0727
1,1,2005     ,0.3956,0.2089,-0.9137,0.9318
1,1,2006,-99.9,-0.8570,-0.9498,1.1064
1,1,2007,-99.9,-1.2639,-1.7257,-0.8231
1,1,2008     ,-2.4081,-2.1330,0.1849,2.0004
1,1,2009,-99.9,-0.3815,-1.5134,-0.7997
1,1,2010     ,-1.9400,-1.0511,-1.2187,-0.1798
1,1,2011     ,-3.1434,-0.8026,-0.2670,0.2125
1,1,2012     ,1.2075,-0.5507,-0.9574,-0.7716
1,1,2013     ,-2.4908,-0.4803,-1.2962,-0.9251
# Species,Quarter,Year, Age_0, Age_1, Age_2, Age_3
1,2,1974     ,-0.0768,-0.1101,-1.0536,-0.9401
1,2,1975     ,-1.4023,0.0282,-0.0740,-0.2449
1,2,1976     ,1.1342,0.0254,-0.4510,-0.5605
1,2,1977     ,-0.4795,-0.4964,0.1680,-0.0592
1,2,1978     ,0.1948,-0.1819,-0.2454,0.0900
1,2,1979     ,-0.3595,-0.3212,-0.4304,-0.4129
1,2,1980,-99.9,-0.3787,0.4534,0.8188
1,2,1981     ,-2.3385,-0.4464,0.6995,0.6077
1,2,1982     ,1.3211,0.9496,-0.5599,-0.8606
1,2,1983     ,1.6310,-0.2154,-0.4129,-0.8989
1,2,1984     ,1.4218,0.4602,-0.5173,-2.2271
1,2,1985,-99.9,-0.2534,0.2105,-1.1500
